B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GNDVI,NDVI,PSRI,SAVI,Top,Landcover
0.1104,0.001,0.1344,0.0478,0.0815,0.0709,0.0404,0.0738,0.2425,0.3265,0.3211,0.3657,0.0439,0.8158198627847216,0.67521757,0.8010342,-0.0834017,0.5385167304303483,1.8956276,Forest
0.1103,0.001,0.1308,0.0457,0.0812,0.0701,0.0389,0.0729,0.2221,0.3033,0.2847,0.3514,0.0498,0.8006251360381935,0.66737837,0.80066615,-0.08878772,0.5265079075093464,1.8659058,Forest
0.10665,9.0E-4,0.14105,0.0508,0.0777,0.06675,0.037,0.0694,0.217,0.29205,0.272,0.32995,0.0467,0.7556489737792269,0.66347367,0.79833764,-0.09016517,0.5068631453094816,2.1131086,Forest
0.1077,8.0E-4,0.1147,0.0406,0.0773,0.0656,0.0366,0.0666,0.198,0.268,0.2485,0.3079,0.0524,0.7156423083750646,0.64872825,0.78751814,-0.09418642,0.48188278206845636,1.7484756,Forest
0.1078,0.001,0.1344,0.0482,0.0757,0.0662,0.0369,0.0695,0.2121,0.2867,0.2768,0.3146,0.0483,0.7170152249548661,0.6523109,0.7900427,-0.09313416,0.4891955292595897,2.0302112,Forest
0.1052,9.0E-4,0.1268,0.0458,0.0761,0.0628,0.0343,0.0605,0.1892,0.2469,0.2477,0.2875,0.0408,0.6861416603917939,0.64145017,0.7868241,-0.09913043,0.4621562361196897,2.0191083,Forest
0.1114,0.001,0.13805,0.04905,0.0832,0.071,0.04075,0.0745,0.2237,0.3008,0.2937,0.3324,0.047,0.7651642215205631,0.6479921,0.78158915,-0.09100482,0.5010307425855876,1.9443662,Forest
0.11275,0.001,0.1386,0.0486,0.0837,0.07095,0.0412,0.07555,0.23045,0.3108,0.296,0.35075,0.0452,0.7976448159382895,0.66350484,0.7897691,-0.08481825,0.5205728994872657,1.9534885,Forest
0.10345,9.0E-4,0.1431,0.05175,0.0765,0.0668,0.03675,0.0726,0.2232,0.30245,0.2947,0.34115,0.05115,0.770320849650066,0.6725089,0.8055041,-0.08808442,0.5201047797427274,2.1422155,Forest
0.111,9.0E-4,0.1322,0.0471,0.08215,0.07585,0.0379,0.0792,0.232,0.3054,0.3005,0.3489,0.0519,0.8097481829891277,0.64284873,0.8040331,-0.10877043,0.5260487019959289,1.7429136,Forest
0.11435,0.001,0.1415,0.04935,0.0842,0.07365,0.0415,0.07585,0.22375,0.302,0.296,0.34225,0.0488,0.7834071441557059,0.6458283,0.78371334,-0.093937196,0.5104667528090091,1.921249,Forest
0.10425,9.0E-4,0.12565,0.04295,0.07565,0.0653,0.03615,0.066,0.2073,0.2843,0.2755,0.3271,0.05025,0.7447843371752517,0.66717637,0.8009635,-0.089116484,0.5055603900297985,1.924196,Forest
0.1110375,0.001,0.12115,0.04206875,0.07754,0.0661,0.034903675,0.06767273,0.204075,0.27444,0.26056665,0.3127,0.051925,0.738370687885404,0.6510032,0.79917544,-0.09976439,0.4916147753619265,1.832829,Forest
0.10655,8.5E-4,0.1345,0.04815,0.0791,0.0715,0.03915,0.08165,0.229,0.3088,0.29925,0.3558,0.056,0.7936487993786764,0.6653405,0.8017471,-0.09092188,0.5307279775423792,1.8811188,Forest
0.1059,9.0E-4,0.135,0.0521,0.0773,0.0667,0.04,0.0773,0.2016,0.2689,0.2505,0.3119,0.051,0.6992233431750893,0.6476492,0.7726627,-0.085604355,0.4787533647103154,2.0239882,Forest
0.102,0.001,0.1196,0.0416,0.0741,0.0653,0.0374,0.0656,0.1944,0.2625,0.2686,0.3053,0.0468,0.6876636481876072,0.64759845,0.7817333,-0.091385536,0.4768600897929795,1.8315465,Forest
0.1085,0.001,0.1215,0.0431,0.0799,0.0669,0.0385,0.0713,0.2007,0.2678,0.259,0.3035,0.048,0.7083667221970249,0.6387689,0.7748538,-0.09357496,0.47209025769642654,1.8161435,Forest
0.111,0.0011,0.1543,0.057,0.0819,0.0748,0.0427,0.083,0.2495,0.32655,0.32463333,0.37545,0.0595,0.8176479043897893,0.6677401,0.79576707,-0.0854974,0.5436203078899836,2.0628343,Forest
0.1138,0.00105,0.10455,0.03955,0.0829,0.074,0.04555,0.079,0.1829,0.2297,0.2187,0.25495,0.04515,0.5774958484278485,0.5500836,0.6968386,-0.11159052,0.3923797447535289,1.4128377,Forest
0.1105,0.0011,0.1514,0.0546,0.0825,0.0739,0.0404,0.0844,0.2483,0.325,0.3089,0.3636,0.0537,0.8184350549196492,0.6621714,0.8,-0.09213422,0.5362831742876107,2.0487144,Forest
0.1148,0.001,0.13455,0.050354544,0.083288886,0.072909094,0.04015,0.0766,0.21801667,0.28435454,0.2665,0.32208332,0.05285,0.751167822795615,0.63083297,0.77831966,-0.10170999,0.49047046912942477,1.8454489,Forest
0.1166,0.001,0.1507,0.0565,0.0848,0.0744,0.0411,0.0818,0.2282,0.2947,0.2858,0.3358,0.0515,0.778476308411476,0.6372501,0.781905,-0.09916618,0.5041053642613232,2.0255377,Forest
0.11218333,0.001,0.1553,0.055364285,0.082825,0.07320714,0.041923076,0.07945,0.23523334,0.31581667,0.3014222,0.3582,0.04945,0.7998498353956943,0.6606123,0.7904491,-0.08733686,0.5270561460887533,2.121378,Forest
0.1118,0.001,0.1527,0.0566,0.08285,0.07165,0.0384,0.0724,0.2231,0.29875,0.28455,0.3384,0.05215,0.7916193977721897,0.65053046,0.79617834,-0.09825649,0.5132299299031063,2.1311934,Forest
0.10635,9.0E-4,0.12785,0.0447,0.07685,0.06275,0.0359,0.0584,0.1851,0.2513,0.2474,0.2893,0.04315,0.68241184075064,0.64351654,0.7792128,-0.09281022,0.4606156005235938,2.0374503,Forest
