B1_May,B1_Jun,B1_Jul,B1_Aug,B1_Sep,B10_May,B10_Jun,B10_Jul,B10_Aug,B10_Sep,B11_May,B11_Jun,B11_Jul,B11_Aug,B11_Sep,B12_May,B12_Jun,B12_Jul,B12_Aug,B12_Sep,B2_May,B2_Jun,B2_Jul,B2_Aug,B2_Sep,B3_May,B3_Jun,B3_Jul,B3_Aug,B3_Sep,B4_May,B4_Jun,B4_Jul,B4_Aug,B4_Sep,B5_May,B5_Jun,B5_Jul,B5_Aug,B5_Sep,B6_May,B6_Jun,B6_Jul,B6_Aug,B6_Sep,B7_May,B7_Jun,B7_Jul,B7_Aug,B7_Sep,B8_May,B8_Jun,B8_Jul,B8_Aug,B8_Sep,B8A_May,B8A_Jun,B8A_Jul,B8A_Aug,B8A_Sep,B9_May,B9_Jun,B9_Jul,B9_Aug,B9_Sep,EVI_May,EVI_Jun,EVI_Jul,EVI_Aug,EVI_Sep,GNDVI_May,GNDVI_Jun,GNDVI_Jul,GNDVI_Aug,GNDVI_Sep,NDVI_May,NDVI_Jun,NDVI_Jul,NDVI_Aug,NDVI_Sep,PSRI_May,PSRI_Jun,PSRI_Jul,PSRI_Aug,PSRI_Sep,SAVI_May,SAVI_Jun,SAVI_Jul,SAVI_Aug,SAVI_Sep,Top_May,Top_Jun,Top_Jul,Top_Aug,Top_Sep,Landcover
0.1069,0.10335,0.10325,0.1131,0.1209,0.0012,7.0E-4,9.0E-4,0.001,0.0021,0.14135,0.12975,0.13355,0.1343,0.1421,0.05135,0.0448,0.048,0.0478,0.0517,0.079,0.0749,0.0751,0.0836,0.0919,0.0691,0.06915,0.06945,0.076,0.0834,0.0388,0.03455,0.0361,0.0429,0.0487,0.0697,0.0709,0.07275,0.0787,0.0823,0.21675,0.2422,0.24395,0.2425,0.2521,0.289,0.3318,0.32745,0.3301,0.3383,0.2833,0.3326,0.33095,0.3196,0.3302,0.3207,0.36535,0.3671,0.3688,0.376,0.03855,0.04035,0.0504,0.0462,0.0485,0.7333506702121146,0.8180829177024962,0.8109167354577066,0.8154023448420344,0.835844487345355,0.6454592,0.6817031,0.6818234,0.6582734,0.6369177,0.78414464,0.8272068,0.82093257,0.7915958,0.77066165,-0.09448082,-0.09470371,-0.09084718,-0.089750536,-0.09228724,0.49197206216885875,0.5513946078851326,0.5497121347091368,0.5361961327352172,0.5309289340416657,2.045586,1.8763556,1.9229662,1.7671052,1.7038369,Forest
0.28185,0.0985,0.0977,0.1075,0.113,0.0014,9.0E-4,7.5E-4,9.5E-4,0.0019,0.25985,0.1216,0.12485,0.1313,0.13725,0.17685,0.0425,0.04375,0.0459,0.0485,0.2637,0.0706,0.0708,0.07875,0.0843,0.2355,0.0602,0.06085,0.06915,0.0771,0.2229,0.0318,0.03195,0.0387,0.0444,0.2399,0.0664,0.0675,0.07525,0.0828,0.32225,0.2031,0.21305,0.2302,0.23395,0.37125,0.2659,0.29575,0.31305,0.31915,0.3353,0.2498,0.2739,0.30515,0.3037,0.4014,0.3024,0.3311,0.35735,0.3545,0.082,0.0451,0.05485,0.05355,0.0499,0.5863609715608566,0.701981934881414,0.754058244226509,0.7974822799172838,0.7841500820694269,0.26048046,0.66795367,0.6895012,0.6757327,0.64272475,0.28592023,0.80969477,0.8239912,0.80457014,0.7773878,-0.03139011,-0.093915336,-0.0872848,-0.085210584,-0.092242606,0.23814817599078475,0.4865739500763582,0.5199293041284094,0.5334244664779746,0.5174657888922858,1.103397,2.0199337,2.0517666,1.8987708,1.7801557,Forest
0.1068,0.09855,0.0978,0.11775,0.12075,9.0E-4,8.5E-4,7.0E-4,9.0E-4,0.0028,0.1511,0.1374,0.1392,0.13895,0.1516,0.0524,0.04655,0.0489,0.0503,0.0569,0.0789,0.07165,0.0706,0.0877,0.09185,0.0673,0.06145,0.0598,0.07385,0.07975,0.0358,0.03195,0.0314,0.0453,0.0504,0.0678,0.06245,0.0625,0.0716,0.0808,0.246,0.2173,0.2164,0.20375,0.21815,0.3373,0.2961,0.2888,0.2788,0.2892,0.3025,0.272,0.2707,0.2605,0.27715,0.3784,0.3322,0.3272,0.3133,0.3333,0.0343,0.0369,0.0487,0.04455,0.0468,0.855259891482955,0.7608777985085546,0.7499239604038914,0.7224888535445266,0.7469701123464049,0.6980031,0.68779373,0.69095606,0.61849415,0.6138482,0.82713664,0.82452285,0.8248745,0.7473508,0.73729473,-0.08324525,-0.08880193,-0.086797066,-0.09112671,-0.088058814,0.562130825390635,0.5211768669605166,0.5167714861228314,0.4682040707226177,0.4801968928701143,2.2451708,2.2359643,2.3277593,1.8815167,1.9009404,Forest
0.12395,0.1007,0.09675,0.1102,0.1141,8.5E-4,7.0E-4,7.5E-4,8.0E-4,0.0017,0.14435,0.10695,0.1094,0.1147,0.1169,0.06255,0.0375,0.0387,0.0416,0.0426,0.09565,0.06855,0.06805,0.0775,0.0858,0.08675,0.05545,0.0552,0.069,0.0777,0.06285,0.02845,0.029,0.0368,0.0449,0.0871,0.05635,0.05765,0.0772,0.0732,0.2051,0.17425,0.1828,0.2157,0.2297,0.2683,0.23195,0.23,0.3007,0.3045,0.24555,0.20125,0.21295,0.2766,0.2816,0.29835,0.26315,0.27515,0.3335,0.3398,0.0473,0.0488,0.05845,0.0591,0.0528,0.6145135112353856,0.6379624435091314,0.6555085009751965,0.762293812139856,0.7634358465299372,0.5494677,0.65191466,0.665809,0.6571429,0.62778443,0.6519934,0.8048697,0.80930465,0.80124223,0.76657134,-0.080107264,-0.10260308,-0.09522079,-0.09655172,-0.09652736,0.41018347634260727,0.444732198725026,0.4591494158138872,0.5113753834725789,0.5,1.663977,1.9287647,1.981884,1.6623188,1.5045046,Forest
0.11005,0.1058,0.1037,0.1212,0.1292,0.00205,9.0E-4,8.0E-4,9.0E-4,0.0052,0.1346,0.131,0.1298,0.1405,0.1563,0.04665,0.0457,0.0455,0.0497,0.0607,0.0785,0.0747,0.0731,0.0882,0.0989,0.06625,0.0625,0.0625,0.0771,0.0889,0.03575,0.0329,0.0324,0.0451,0.0563,0.0643,0.0625,0.0619,0.0759,0.0885,0.2018,0.1975,0.1953,0.2113,0.2267,0.25625,0.2729,0.2731,0.287,0.2966,0.2618,0.2568,0.2673,0.2843,0.2898,0.29925,0.3072,0.3106,0.3295,0.344,0.0401,0.0398,0.0502,0.0469,0.0488,0.7121621779885233,0.7261608532271822,0.7269401827526354,0.75751118728213,0.7651188894635086,0.63748294,0.661888,0.6649692,0.62075746,0.5892816,0.78656715,0.8065275,0.8110787,0.7592098,0.71871096,-0.101921454,-0.09635416,-0.0969092,-0.09711685,-0.09476744,0.4733532976769072,0.4897631365934443,0.4950178065559125,0.4877658245007371,0.4793402345862816,2.0316982,2.096,2.0768,1.8223085,1.7581551,Forest
0.10705,0.1011,0.0989,0.1181,0.1162,0.00335,8.0E-4,8.0E-4,9.0E-4,0.0046,0.13325,0.1234,0.1244,0.126,0.139,0.0472,0.0442,0.0432,0.0458,0.0528,0.07695,0.0712,0.0703,0.0874,0.0867,0.06295,0.0585,0.0591,0.0736,0.0774,0.03515,0.0313,0.0309,0.0436,0.047,0.0593,0.0537,0.0567,0.0668,0.0764,0.19645,0.1856,0.1773,0.1761,0.2021,0.2603,0.2524,0.2428,0.2378,0.2753,0.2512,0.2433,0.2453,0.2393,0.2685,0.2963,0.2875,0.2749,0.265,0.3102,0.0369,0.0338,0.0408,0.0386,0.0461,0.701959508110036,0.680441915118488,0.6537698648095129,0.6354034615708299,0.6985509002339334,0.64954764,0.66184974,0.6461078,0.56526875,0.6006192,0.78790164,0.80363864,0.7979071,0.7174336,0.7368421,-0.093823835,-0.094608694,-0.10258276,-0.11320756,-0.09800129,0.4711347595919539,0.46934537394967446,0.4542069862716601,0.41070984859610965,0.4605693060574289,2.1167593,2.1094017,2.104907,1.7119565,1.7958657,Forest
0.10615,0.10055,0.0986,0.1201,0.1114,0.00145,9.5E-4,8.0E-4,9.0E-4,0.0024,0.1431,0.13,0.1334,0.1365,0.145,0.05075,0.0454,0.0468,0.0495,0.0526,0.07855,0.07445,0.0723,0.0905,0.0835,0.06935,0.06635,0.064,0.0781,0.0769,0.0373,0.0336,0.0334,0.0484,0.0435,0.0713,0.0674,0.0653,0.0777,0.0821,0.2197,0.22335,0.2139,0.2103,0.2328,0.2847,0.2908,0.2792,0.2882,0.3078,0.29155,0.28925,0.2829,0.2807,0.2964,0.3448,0.32215,0.3208,0.323,0.3459,0.04325,0.04425,0.0551,0.0502,0.0503,0.7848592351790122,0.7472484791978318,0.7339496686274415,0.7344995564806203,0.7709172436937994,0.6650972,0.65842986,0.66735965,0.6105709,0.63623464,0.80476314,0.8111033,0.811406,0.73936456,0.7765794,-0.09295242,-0.10166072,-0.09538654,-0.09195047,-0.096559696,0.5228998887037318,0.5057843931504651,0.5046827535475649,0.4726876459987587,0.5100067479943811,2.0634463,1.9593067,2.084375,1.7477592,1.8855656,Forest
0.10815,0.1062,0.103,0.1202,0.1128,0.0011,0.0012,8.5E-4,9.0E-4,0.0026,0.14775,0.1338,0.13505,0.1404,0.1459,0.05095,0.0459,0.0477,0.049,0.0518,0.0789,0.0758,0.0735,0.0889,0.0842,0.06915,0.0681,0.0653,0.078,0.0751,0.03765,0.0356,0.03415,0.0457,0.0422,0.07305,0.0756,0.0703,0.0778,0.0761,0.22905,0.2341,0.23585,0.2256,0.2307,0.3037,0.3116,0.31135,0.3052,0.3162,0.29695,0.2924,0.29755,0.2947,0.3048,0.35455,0.3455,0.35075,0.3474,0.3618,0.0413,0.0406,0.05265,0.0472,0.0472,0.8013047600487823,0.782101759199004,0.7880326499810529,0.7899146722230668,0.8124046724785818,0.6735898,0.6706963,0.6860954,0.6332863,0.65621424,0.8080061,0.8131724,0.8225513,0.7674892,0.7910891,-0.088845015,-0.09406657,-0.0888097,-0.0929764,-0.09093422,0.5327841327686441,0.5275791559930467,0.5366708079596433,0.5067181862088528,0.5303097206408053,2.1366594,1.9647578,2.068147,1.8000001,1.9427431,Forest
0.1394,0.0977,0.0979,0.1033,0.1226,7.0E-4,8.0E-4,7.0E-4,9.0E-4,0.0011,0.2245,0.1395,0.1402,0.1456,0.1488,0.1033,0.0479,0.0481,0.0544,0.0576,0.1515,0.0707,0.0711,0.077,0.0938,0.1397,0.0606,0.0613,0.0678,0.0818,0.1195,0.0315,0.0325,0.0389,0.051,0.1365,0.0662,0.0689,0.075,0.0851,0.2635,0.2251,0.2293,0.2195,0.2153,0.3294,0.3028,0.308,0.2926,0.2819,0.3148,0.2884,0.2984,0.2823,0.285,0.3627,0.3415,0.3443,0.3229,0.3249,0.0413,0.0524,0.057,0.0602,0.0526,0.6444432711011142,0.7748063030680432,0.7748123768993481,0.7253780127785907,0.7383545541989757,0.4438694,0.6985825,0.6977318,0.6529306,0.5977379,0.504355,0.8310992,0.8274947,0.7849641,0.7286512,-0.05569341,-0.0852123,-0.08364798,-0.089501396,-0.0947984,0.3714111082833663,0.5326460625173599,0.5334169756176351,0.4943142248663128,0.4690603986815118,1.6070151,2.3019803,2.2871127,2.1474926,1.8190709,Forest
0.10795,0.1053,0.10815,0.1097,0.1232,8.0E-4,8.0E-4,8.0E-4,9.0E-4,0.0011,0.125,0.13065,0.12855,0.1431,0.1548,0.04395,0.04405,0.04695,0.0525,0.056,0.0787,0.07625,0.07775,0.0802,0.09455,0.0676,0.06805,0.0719,0.0764,0.0887,0.03495,0.03335,0.03515,0.0381,0.051,0.0678,0.07,0.07655,0.082,0.093,0.20895,0.2273,0.22945,0.239,0.2466,0.2905,0.30465,0.30405,0.3031,0.3301,0.28525,0.2962,0.29735,0.3054,0.3228,0.32375,0.3347,0.34665,0.3547,0.3677,0.0319,0.05365,0.0612,0.0633,0.0518,0.7654791964120652,0.7823818083157296,0.7991892647536212,0.8061723412802451,0.8208278427391188,0.6545292,0.66207325,0.6564329,0.6455579,0.6113059,0.80512965,0.81877464,0.8158722,0.80600816,0.75638884,-0.10084942,-0.10367493,-0.10601472,-0.10797856,-0.10252923,0.5044835107920603,0.5207361235541373,0.5298820666376107,0.5319220409567045,0.5170893787761597,1.8491125,1.9199119,1.7878997,1.8730366,1.7452086,Forest
0.10855,0.1058,0.1104,0.1102,0.1251,0.00115,8.0E-4,8.0E-4,9.0E-4,0.00115,0.1334,0.1286,0.1413,0.1426,0.15875,0.0459,0.0444,0.0485,0.0516,0.05865,0.0794,0.077,0.0813,0.08,0.09515,0.0672,0.06755,0.0713,0.0731,0.08545,0.0362,0.0355,0.037,0.0387,0.0508,0.0687,0.07005,0.0745,0.0781,0.0895,0.20525,0.2142,0.2232,0.2277,0.24305,0.28325,0.28465,0.3017,0.3044,0.32125,0.2768,0.28375,0.3028,0.3136,0.3187,0.31575,0.3278,0.3495,0.3496,0.36675,0.03335,0.0484,0.0544,0.0569,0.05095,0.7455064363416094,0.7585902619242555,0.812321272979797,0.7916581499376608,0.8245687460901563,0.64904034,0.65827745,0.66112167,0.6541282,0.6220699,0.79428893,0.80456924,0.80853814,0.8006696,0.75667584,-0.09817892,-0.09777304,-0.098140195,-0.09839818,-0.09447853,0.49219437669586086,0.507876755815974,0.5287648048457197,0.5249915441822119,0.5165113651723047,1.985119,1.9037749,1.981767,1.9507524,1.8578116,Forest
